Date,Time,"Rain (S-RGA 9927044:9917722-1), in","Wind Speed (S-WCA 9927044:9907761-1), mph","Temperature (S-THB 9927044:9909397-1), *F","Wetness (S-LWA 9927044:9895688-1), %","Voltage (91-U30-CVIA 9927044:9896946-1), V","Pressure (S-BPB 9927044:10661037-1), inHg","Water Content (S-SMC 9927044:10659713-1), m^3/m^3","Dew Point (S-THB 9927044:9909397-3), *F","Gust Speed (S-WCA 9927044:9907761-2), mph","RH (S-THB 9927044:9909397-2), %","Wind Direction (S-WCA 9927044:9907761-3), *","Current (91-U30-CVIA 9927044:9896946-2), mA","Battery (U30 BATTERY 9927044:9927044-B), V","Temperature (S-TMB 9927044:9912395-1), *F","Solar Radiation (S-LIB 9927044:9903142-1), W/m^2"
10/06/16,12:30:00,0.00,2.1,69.17,4.7,-0.204,30.160,0.1180,46.49,5.4,44.20,138,0.006,4.56,-888.88,633
10/06/16,12:45:00,0.00,1.7,69.64,4.7,-0.204,30.155,0.1172,45.63,4.2,42.10,142,0.006,4.56,-888.88,627
10/06/16,13:00:00,0.00,2.5,70.84,5.3,-0.204,30.149,0.1165,47.28,5.8,43.00,110,0.006,4.59,-888.88,623
10/06/16,13:15:00,0.00,1.7,71.19,4.7,-0.204,30.143,0.1158,47.46,5.8,42.80,201,0.006,4.31,-888.88,611
10/06/16,13:30:00,0.00,3.7,69.81,4.1,-0.204,30.140,0.1165,46.53,8.3,43.30,79,0.006,4.57,-888.88,596
10/06/16,13:45:00,0.00,4.2,70.29,4.1,-0.204,30.137,0.1150,46.45,7.9,42.50,95,0.006,4.57,-888.88,579
10/06/16,14:00:00,0.00,4.2,70.84,3.5,-0.204,30.134,0.1150,46.27,8.7,41.40,77,0.006,4.57,-888.88,562
10/06/16,14:15:00,0.00,2.5,71.23,4.1,-0.204,30.131,0.1150,46.04,6.2,40.50,81,0.006,4.41,-888.88,536
10/06/16,14:30:00,0.00,3.3,71.58,4.1,-0.204,30.131,0.1150,45.75,7.1,39.60,84,0.006,4.57,-888.88,513
10/06/16,14:45:00,0.00,2.1,72.26,4.1,-0.204,30.131,0.1143,45.34,5.8,38.10,79,0.006,4.57,-888.88,489
10/06/16,15:00:00,0.00,2.5,72.95,3.5,-0.204,30.131,0.1143,45.75,7.9,37.80,166,0.006,4.57,-888.88,464
10/06/16,15:15:00,0.00,1.7,73.21,3.5,-0.204,30.128,0.1143,43.95,5.8,35.00,263,0.006,4.60,-888.88,428
10/06/16,15:30:00,0.00,2.5,72.05,2.9,-0.204,30.131,0.1136,41.72,5.4,33.40,72,0.006,4.57,-888.88,394
10/06/16,15:45:00,0.00,1.2,72.83,2.9,-0.204,30.128,0.1136,41.85,5.0,32.70,41,0.006,4.57,-888.88,362
10/06/16,16:00:00,0.00,3.3,71.83,2.9,-0.204,30.128,0.1129,41.14,5.4,32.90,60,0.006,4.57,-888.88,322
10/06/16,16:15:00,0.00,2.5,72.14,2.9,-0.204,30.131,0.1121,42.33,5.4,34.10,88,0.006,4.50,-888.88,283
10/06/16,16:30:00,0.00,1.7,71.66,2.9,-0.204,30.131,0.1121,43.11,5.8,35.70,100,0.006,4.57,-888.88,246
10/06/16,16:45:00,0.00,2.1,70.97,2.4,-0.204,30.134,0.1114,41.92,4.2,34.90,107,0.006,4.57,-888.88,206
10/06/16,17:00:00,0.00,2.1,70.33,2.4,-0.204,30.137,0.1114,40.28,3.7,33.50,107,0.006,4.57,-888.88,166
10/06/16,17:15:00,0.00,1.7,69.86,2.4,-0.204,30.134,0.1114,40.62,3.7,34.50,107,0.006,4.57,-888.88,128
10/06/16,17:30:00,0.00,0.4,68.23,2.4,-0.204,30.131,0.1107,41.95,2.1,38.40,107,0.006,4.54,-888.88,82
10/06/16,17:45:00,0.00,0.0,63.86,2.4,-0.204,30.140,0.1107,41.32,1.7,43.60,107,0.006,4.48,-888.88,12
10/06/16,18:00:00,0.00,0.0,60.30,3.5,-0.204,30.152,0.1114,44.47,0.0,55.80,107,0.006,4.43,-888.88,6
